교과구분,개설대학,개설학과,이수과정,학년,교과목번호,강좌번호,교과목명,부제명,학점,강의,실습,수업교시,수업형태,"강의실(동-호)(#연건, *평창)",주담당교수,정원,수강신청인원,비고,강의언어,개설상태
교양,인문대학,국어국문학과,학사,1학년,031.001,001,글쓰기의 기초,,3,3,0,월(11:00~12:15)/수(11:00~12:15),이론/이론,083-402/083-402,이은주,25 (25),17,®2018학번 포함 이전 학번만 수강 가능 / 졸업 예정자에 한하여 초안지 접수. 문의: 국어국문학과 사무실.,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,002,글쓰기의 기초,,3,3,0,화(12:30~13:45)/목(12:30~13:45),이론/이론,083-402/083-402,이은주,25 (25),19,®2018학번 포함 이전 학번만 수강 가능 / 졸업 예정자에 한하여 초안지 접수. 문의: 국어국문학과 사무실.,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,003,글쓰기의 기초,,3,3,0,월(14:00~15:15)/수(14:00~15:15),이론/이론,083-402/083-402,이은주,25 (25),16,®2018학번 포함 이전 학번만 수강 가능 / 졸업 예정자에 한하여 초안지 접수. 문의: 국어국문학과 사무실.,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,004,글쓰기의 기초,,3,3,0,화(15:30~16:45)/목(15:30~16:45),이론/이론,083-402/083-402,이은주,25 (25),11,®2018학번 포함 이전 학번만 수강 가능 / 졸업 예정자에 한하여 초안지 접수. 문의: 국어국문학과 사무실.,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,005,글쓰기의 기초,,3,3,0,금(09:00~11:50),이론,008-304,박혜승,20 (20),5,®<글로벌 인재반>: '글로벌인재특별전형'의 1유형 혹은 2유형으로 입학한 학생과 교환 학생만 수강 가능. (단 해당 전형으로 입학하였어도 한국어 글쓰기 능력에 따라 다른 강좌를 수강할 수 있음.) / 2018학번 포함 이전 학번만 수강 가능 / 졸업 예정자에 한하여 초안지 접수. 문의: 국어국문학과 사무실.,한국어,설강
교양,기초교육원,,학사,1학년,031.002,001,인문학글쓰기,,3,3,0,금(09:30~12:20),이론,008-302,김광식,25 (25),17,®2018학번 포함 이전 학번만 수강가능,한국어,설강
교양,기초교육원,,학사,1학년,031.003,001,사회과학글쓰기,,3,3,0,화(15:30~16:45)/목(15:30~16:45),이론/이론,008-304/008-304,박현희,25 (25),7,®2018학번 포함 이전 학번만 수강가능,한국어,설강
교양,기초교육원,,학사,1학년,031.004,001,과학과 기술 글쓰기,,3,3,0,화(15:30~16:45)/목(15:30~16:45),이론/이론,043-1-303/043-1-303,현영종,25 (25),26,®2018학번 포함 이전 학번만 수강가능,한국어,설강
교양,기초교육원,,학사,1학년,031.031,001,말하기와 토론,,3,3,0,월(09:30~10:45)/수(09:30~10:45),이론/이론,043-1-303/043-1-303,김종영,25 (12),21,,한국어,설강
교양,기초교육원,,학사,1학년,031.031,002,말하기와 토론,,3,3,0,월(11:00~12:15)/수(11:00~12:15),이론/이론,043-1-303/043-1-303,김종영,25 (12),16,,한국어,설강
교양,기초교육원,,학사,1학년,031.031,003,말하기와 토론,,3,3,0,월(14:00~15:15)/수(14:00~15:15),이론/이론,043-1-303/043-1-303,김종영,25 (12),25,,한국어,설강
교양,기초교육원,,학사,1학년,031.031,004,말하기와 토론,,3,3,0,월(15:30~16:45)/수(15:30~16:45),이론/이론,043-1-303/043-1-303,김종영,25 (12),23,,한국어,설강
교양,기초교육원,,학사,1학년,031.031,005,말하기와 토론,,3,3,0,화(09:30~10:45)/목(09:30~10:45),이론/이론,008-303/008-303,황은미,25 (12),21,,한국어,설강
교양,기초교육원,,학사,1학년,031.031,006,말하기와 토론,,3,3,0,화(11:00~12:15)/목(11:00~12:15),이론/이론,009-104/009-104,이상원,25 (12),25,,한국어,설강
교양,기초교육원,,학사,1학년,031.031,007,말하기와 토론,,3,3,0,화(12:30~13:45)/목(12:30~13:45),이론/이론,009-105/009-105,백미숙,25 (12),25,,한국어,설강
교양,기초교육원,,학사,1학년,031.031,008,말하기와 토론,,3,3,0,화(15:30~16:45)/목(15:30~16:45),이론/이론,009-105/009-105,백미숙,25 (12),20,,한국어,설강
교양,기초교육원,,학사,1학년,031.031,010,말하기와 토론,,3,3,0,금(10:00~12:50),이론,009-105,백미숙,25 (12),23,,한국어,설강
교양,기초교육원,,학사,1학년,031.031,011,말하기와 토론,,3,3,0,금(14:00~16:50),이론,043-1-101,김용신,25 (12),24,,한국어,설강
교양,기초교육원,,학사,1학년,031.032,001,창의적 사고와 표현,,3,3,0,수(14:00~16:50),이론,003-211-1,박현희,25 (12),15,주제: 공동체와 정의,한국어,설강
교양,기초교육원,,학사,1학년,031.032,002,창의적 사고와 표현,,3,3,0,화(14:00~15:15)/목(14:00~15:15),이론/이론,003-211-1/003-211-1,김재호,25 (12),23,주제: 자아와 타자의 이해,한국어,설강
교양,기초교육원,,학사,1학년,031.032,003,창의적 사고와 표현,,3,3,0,화(11:00~12:15)/목(11:00~12:15),이론/이론,003-211-1/003-211-1,김광식,25 (12),20,주제: 과학과 영화,한국어,설강
교양,기초교육원,,학사,1학년,031.032,004,창의적 사고와 표현,,3,3,0,월(11:00~12:15)/수(11:00~12:15),이론/이론,003-211-1/003-211-1,이유선,25 (12),18,주제: 마음,한국어,설강
교양,인문대학,철학과,학사,1학년,031.033,001,논리와 비판적 사고,,3,3,0,수(15:30~18:20),이론,007-106,이주한,40 (20),33,,한국어,설강
교양,인문대학,철학과,학사,1학년,031.033,002,논리와 비판적 사고,,3,3,0,금(10:00~12:50),이론,007-203,최동호,40 (20),27,,한국어,설강
교양,인문대학,철학과,학사,1학년,031.033,003,논리와 비판적 사고,,3,3,0,금(14:00~16:50),이론,007-203,박지영,40 (20),36,,한국어,설강
교양,인문대학,철학과,학사,1학년,031.033,004,논리와 비판적 사고,,3,3,0,월(12:30~13:45)/수(12:30~13:45),이론/이론,005-212/005-212,이선형,40 (20),43,,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,032.002,001,중급한국어 1,,3,3,0,월(09:30~10:45)/수(09:30~10:45),이론/이론,014-102/014-102,윤예진,20 (6),9,,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,032.003,001,중급한국어 2,,3,3,0,월(09:30~10:45)/수(09:30~10:45),이론/이론,005-204/005-204,배윤정,20 (6),10,,한국어,설강
