,083,008,043-1,009,003,007,005,014,006,001,002,500,024,025,039,301,038,032,034,302,026,056,010-1,058,044-1,035,049,055,220,011,016,016-1,084,015,057,057-1,064,010,201,200,222,071-1,074,051,054,033,013,004,101,085,082,152-1,012,#001,,015-1,059,017,019,203,500-B,025-1,105-2,022,500-C,500-A,086,021,143,029,#017-,142,#017,031,030,036,037,018,075-1,081,085-1,050,052-2,207,073,053,153,#012,#022,#020,#021,140-1,140,140-2,221,*100,500-D,#013,*102,942
083,2.0,8.58,14.05,9.15,7.84,9.15,7.29,8.46,7.97,7.48,7.81,11.11,9.95,11.9,16.22,24.89,16.83,15.21,15.07,26.92,10.89,12.77,9.68,8.15,16.19,14.71,5.27,3.92,6.43,10.2,5.85,4.91,6.76,6.76,8.34,8.04,12.96,9.32,15.74,13.63,5.78,11.8,4.58,3.82,4.95,15.0,9.83,7.84,6.83,15.96,7.02,9.7,9.92,45.9,7.48,6.76,8.67,4.29,14.32,12.32,11.11,11.11,21.95,11.93,11.11,11.11,16.74,10.54,15.97,19.22,45.9,16.74,45.9,16.72,13.45,16.15,16.45,14.32,14.32,15.96,15.96,4.64,4.16,9.0,7.88,4.53,9.56,45.9,45.9,45.9,45.9,7.75,9.69,9.69,9.69,46.87,11.11,45.9,46.87,28.21
008,11.86,2.0,8.89,4.45,3.87,4.45,4.36,5.32,4.6,5.18,3.43,8.9,7.72,9.31,11.2,19.72,11.81,10.19,9.9,21.76,6.69,7.6,5.37,18.02,11.02,9.42,13.44,8.99,13.48,3.62,11.45,10.64,12.47,12.47,16.6,16.3,14.98,6.52,11.91,9.81,14.03,21.66,8.43,12.87,7.87,9.98,3.26,3.87,11.27,22.01,8.61,19.56,3.34,41.52,5.18,12.47,16.92,11.35,9.03,9.74,8.9,8.9,16.79,6.91,8.9,8.9,26.6,5.17,10.69,16.14,41.52,11.45,41.52,12.89,8.43,11.13,12.62,9.03,9.03,22.01,22.01,10.67,12.65,17.26,8.31,11.46,19.42,41.52,41.52,41.52,41.52,14.28,16.75,16.75,16.75,42.49,8.9,41.52,42.49,23.83
043-1,20.08,12.33,2.0,12.44,13.02,12.44,13.52,13.66,14.38,12.19,12.59,13.61,10.48,10.79,5.08,12.83,5.79,5.88,3.01,14.87,8.67,3.93,13.92,26.23,4.14,4.05,22.09,17.2,22.13,11.61,19.67,18.85,20.68,20.68,25.25,24.95,21.01,14.47,10.39,7.24,22.68,29.88,17.34,21.08,16.78,4.28,10.56,13.02,19.48,31.8,18.39,27.78,11.19,49.59,12.19,20.68,25.57,19.57,4.5,9.2,13.61,13.61,9.9,5.37,13.61,13.61,34.82,8.06,6.98,11.18,49.59,8.13,49.59,11.57,3.1,5.3,6.84,4.5,4.5,31.8,31.8,18.89,20.86,25.91,14.61,19.67,27.64,49.59,49.59,49.59,49.59,22.93,25.4,25.4,25.4,50.55,13.61,49.59,50.55,31.89
009,12.72,3.64,8.96,2.0,6.32,2.0,4.92,3.22,3.94,7.63,5.88,10.45,9.18,10.6,11.63,19.79,12.24,11.15,9.97,21.83,7.97,7.67,3.74,18.87,11.1,9.49,13.86,9.85,13.91,3.37,13.91,13.09,14.93,14.93,17.03,16.72,17.44,4.06,12.86,10.76,14.46,22.52,8.85,13.36,8.29,10.41,3.25,6.32,13.72,21.36,7.95,20.42,3.09,40.27,7.63,14.93,17.35,12.21,9.1,11.03,10.45,10.45,16.86,7.87,10.45,10.45,27.46,5.24,10.76,14.5,40.27,11.52,40.27,13.84,8.86,11.56,13.29,9.1,9.1,21.36,21.36,11.53,13.14,17.69,10.76,11.9,20.28,40.27,40.27,40.27,40.27,14.7,17.18,17.18,17.18,41.24,10.45,40.27,41.24,22.58
003,10.76,3.24,9.35,4.88,2.0,4.88,3.99,6.74,6.02,3.5,2.48,8.81,7.66,9.6,11.66,20.18,12.28,10.65,10.36,22.22,7.15,8.06,6.39,16.91,11.49,9.88,11.9,7.89,11.95,4.87,10.52,9.71,11.54,11.54,15.07,14.76,14.05,6.03,12.37,10.27,12.5,20.56,6.89,11.4,6.34,10.44,4.5,2.0,10.34,22.41,9.01,18.46,4.59,42.94,3.5,11.54,15.39,10.25,9.49,10.03,8.81,8.81,17.25,7.37,8.81,8.81,25.5,5.63,11.15,17.01,42.94,11.91,42.94,13.35,8.89,11.59,13.08,9.49,9.49,22.41,22.41,9.57,11.18,15.73,7.38,9.94,18.32,42.94,42.94,42.94,42.94,12.74,15.22,15.22,15.22,43.91,8.81,42.94,43.91,25.25
007,12.72,3.64,8.96,2.0,6.32,2.0,4.92,3.22,3.94,5.75,4.59,10.45,9.18,10.6,11.63,19.79,12.24,11.15,9.97,21.83,7.97,7.67,3.74,18.87,11.1,9.49,13.86,9.85,13.91,3.37,13.91,13.09,14.93,14.93,17.03,16.72,17.44,3.37,12.86,10.76,14.46,22.52,8.85,13.36,8.29,10.41,3.25,6.32,13.72,21.36,7.95,20.42,3.09,40.27,5.75,14.93,17.35,12.21,9.1,11.03,10.45,10.45,16.86,7.87,10.45,10.45,27.46,5.24,10.76,14.5,40.27,11.52,40.27,13.84,8.86,11.56,13.29,9.1,9.1,21.36,21.36,11.53,13.14,17.69,10.76,11.9,20.28,40.27,40.27,40.27,40.27,14.7,17.18,17.18,17.18,41.24,10.45,40.27,41.24,22.58
005,9.93,3.58,9.68,3.94,4.99,3.94,2.0,3.88,3.15,4.36,3.75,9.68,8.51,10.11,11.99,20.52,12.61,10.99,10.7,22.55,7.48,8.39,4.48,16.08,11.82,10.22,11.07,7.06,11.12,5.2,11.75,10.35,12.84,12.84,14.24,13.93,15.35,4.12,12.7,10.6,11.67,19.73,6.06,10.57,5.5,10.78,4.83,4.99,11.64,20.57,7.16,17.63,4.92,40.07,4.36,12.84,14.56,9.42,9.82,10.53,9.68,9.68,17.58,7.71,9.68,9.68,24.67,5.96,11.48,15.24,40.07,12.24,40.07,13.68,9.22,11.93,13.41,9.82,9.82,20.57,20.57,8.74,10.35,14.9,8.68,9.11,17.49,40.07,40.07,40.07,40.07,11.91,14.39,14.39,14.39,41.04,9.68,40.07,41.04,22.38
014,11.68,4.22,9.77,2.81,5.16,2.81,3.25,2.0,2.48,5.53,5.0,10.85,9.69,11.36,12.44,20.61,13.05,11.96,10.79,22.64,8.73,8.48,3.23,17.83,11.91,10.31,12.82,8.81,12.87,4.19,13.5,12.11,14.59,14.59,15.99,15.68,17.1,2.86,13.67,11.57,13.42,21.48,7.81,12.32,7.26,11.22,4.06,6.74,13.39,20.14,6.73,19.38,3.9,39.5,5.53,14.59,16.31,11.17,9.91,11.79,10.85,10.85,16.85,8.68,10.85,10.85,26.42,6.05,11.57,13.99,39.5,12.33,39.5,14.65,9.67,12.37,14.11,9.91,9.91,20.14,20.14,10.49,12.1,16.65,10.43,10.87,19.24,39.5,39.5,39.5,39.5,13.66,16.14,16.14,16.14,40.47,10.85,39.5,40.47,21.81
006,10.96,3.73,10.25,3.3,4.68,3.3,2.77,2.73,2.0,5.05,4.51,10.36,9.21,10.88,12.76,21.09,13.38,11.76,11.27,23.12,8.25,8.97,3.71,17.11,12.39,10.79,12.1,8.08,12.14,4.67,12.78,11.38,13.87,13.87,15.26,14.96,16.38,3.35,13.47,11.37,12.69,20.75,7.09,11.6,6.53,11.54,4.55,6.02,12.66,19.41,6.01,18.66,4.39,38.92,5.05,13.87,15.59,10.45,10.4,11.3,10.36,10.36,17.33,8.47,10.36,10.36,25.7,6.53,12.05,14.47,38.92,12.82,38.92,14.45,9.99,12.69,14.18,10.4,10.4,19.41,19.41,9.77,11.38,15.92,9.7,10.14,18.52,38.92,38.92,38.92,38.92,12.94,15.41,15.41,15.41,39.89,10.36,38.92,39.89,21.23
001,10.23,4.12,8.79,5.75,4.25,7.63,5.54,7.3,6.57,2.0,4.03,7.5,6.34,8.29,11.11,19.63,11.72,10.1,9.81,21.66,6.44,7.51,6.76,16.38,10.93,9.33,12.23,7.35,12.28,5.74,9.82,9.0,10.84,10.84,15.4,15.09,13.35,6.39,11.81,9.71,12.83,20.02,7.44,11.23,6.89,9.89,5.0,4.25,9.63,22.96,9.56,17.93,5.46,43.49,2.0,10.84,15.72,9.72,8.94,8.71,7.5,7.5,16.69,6.82,7.5,7.5,24.96,5.07,10.59,16.45,43.49,11.36,43.49,12.8,8.34,11.04,12.53,8.94,8.94,22.96,22.96,9.04,11.01,16.06,5.4,9.82,17.78,43.49,43.49,43.49,43.49,13.07,15.55,15.55,15.55,44.46,7.5,43.49,44.46,25.8
